verbo,respuesta,modo,tiempo,persona,persona.texto,cuantos,valor
rir,rísedes,subxuntivo,pretérito,2,vos,plural,120
rir,risen,subxuntivo,pretérito,3,eles,plural,120
rir,rir,subxuntivo,futuro,1,eu,singular,130
rir,rires,subxuntivo,futuro,2,ti,singular,130
rir,rir,subxuntivo,futuro,3,el,singular,130
rir,rirmos,subxuntivo,futuro,1,nos,plural,130
rir,rirdes,subxuntivo,futuro,2,vos,plural,130
rir,riren,subxuntivo,futuro,3,eles,plural,130
rir,rindo,xerundio,-,-,-,-,210
rir,rido,participio,-,-,-,-,220
rir,rido,infinitivo,-,-,-,-,200
rir,ir,imperativo,-,-,-,singular,230
rir,ride,imperativo,-,-,-,plural,230
cantar,canto,indicativo,presente,1,eu,singular,10
cantar,cantas,indicativo,presente,2,ti,singular,10
cantar,canta,indicativo,presente,3,el,singular,10
cantar,cantamos,indicativo,presente,1,nos,plural,10
cantar,cantades,indicativo,presente,2,vos,plural,10
cantar,cantan,indicativo,presente,3,eles,plural,10
cantar,cantaba,indicativo,pretéritoimperfecto,1,eu,singular,20
cantar,cantabas,indicativo,pretéritoimperfecto,2,ti,singular,20
cantar,cantaba,indicativo,pretéritoimperfecto,3,el,singular,20
cantar,cantabamos,indicativo,pretéritoimperfecto,1,nos,plural,20
cantar,cantabades,indicativo,pretéritoimperfecto,2,vos,plural,20
cantar,cantaban,indicativo,pretéritoimperfecto,3,eles,plural,20
cantar,cantei,indicativo,pretéritoperfecto,1,eu,singular,24
cantar,cantaches,indicativo,pretéritoperfecto,2,ti,singular,24
cantar,cantou,indicativo,pretéritoperfecto,3,el,singular,24
cantar,cantamos,indicativo,pretéritoperfecto,1,nos,plural,24
cantar,cantastes,indicativo,pretéritoperfecto,2,vos,plural,24
cantar,cantaron,indicativo,pretéritoperfecto,3,eles,plural,24
cantar,cantarei,indicativo,futuro,1,eu,singular,30
cantar,cantarás,indicativo,futuro,2,ti,singular,30
cantar,cantará,indicativo,futuro,3,el,singular,30
cantar,cantaremos,indicativo,futuro,1,nos,plural,30
cantar,cantaredes,indicativo,futuro,2,vos,plural,30
cantar,cantarán,indicativo,futuro,3,eles,plural,30
cantar,cantara,indicativo,pretéritopluscuamperfecto,1,eu,singular,28
cantar,cantaras,indicativo,pretéritopluscuamperfecto,2,ti,singular,28
cantar,cantara,indicativo,pretéritopluscuamperfecto,3,el,singular,28
cantar,cantaramos,indicativo,pretéritopluscuamperfecto,1,nos,plural,28
cantar,cantarades,indicativo,pretéritopluscuamperfecto,2,vos,plural,28
cantar,cantaran,indicativo,pretéritopluscuamperfecto,3,eles,plural,28
cantar,cantaría,indicativo,condicional,1,eu,singular,40
cantar,cantarías,indicativo,condicional,2,ti,singular,40
cantar,cantaría,indicativo,condicional,3,el,singular,40
cantar,cantariamos,indicativo,condicional,1,nos,plural,40
cantar,cantariades,indicativo,condicional,2,vos,plural,40
cantar,cantarían,indicativo,condicional,3,eles,plural,40
cantar,cante,subxuntivo,presente,1,eu,singular,110
cantar,cantes,subxuntivo,presente,2,ti,singular,110
cantar,cante,subxuntivo,presente,3,el,singular,110
cantar,cantemos,subxuntivo,presente,1,nos,plural,110
cantar,cantedes,subxuntivo,presente,2,vos,plural,110
cantar,canten,subxuntivo,presente,3,eles,plural,110
cantar,cantase,subxuntivo,pretérito,1,eu,singular,120
cantar,cantases,subxuntivo,pretérito,2,ti,singular,120
cantar,cantase,subxuntivo,pretérito,3,el,singular,120
cantar,cantásemos,subxuntivo,pretérito,1,nos,plural,120
cantar,cantásedes,subxuntivo,pretérito,2,vos,plural,120
cantar,cantasen,subxuntivo,pretérito,3,eles,plural,120
cantar,cantar,subxuntivo,futuro,1,eu,singular,130
cantar,cantares,subxuntivo,futuro,2,ti,singular,130
cantar,cantar,subxuntivo,futuro,3,el,singular,130
cantar,cantarmos,subxuntivo,futuro,1,nos,plural,130
cantar,cantardes,subxuntivo,futuro,2,vos,plural,130
cantar,cantaren,subxuntivo,futuro,3,eles,plural,130
cantar,cantando,xerundio,-,-,-,-,210
cantar,cantado,participio,-,-,-,-,220
cantar,cantar,infinitivo,-,-,-,-,200
cantar,canta,imperativo,-,-,-,singular,230
cantar,cantades,imperativo,-,-,-,plural,230
correr,corro,indicativo,presente,1,eu,singular,10
correr,corres,indicativo,presente,2,ti,singular,10
correr,corre,indicativo,presente,3,el,singular,10
correr,corremos,indicativo,presente,1,nos,plural,10
correr,corredes,indicativo,presente,2,vos,plural,10
correr,corren,indicativo,presente,3,eles,plural,10
correr,corría,indicativo,pretéritoimperfecto,1,eu,singular,20
correr,corrías,indicativo,pretéritoimperfecto,2,ti,singular,20
correr,corría,indicativo,pretéritoimperfecto,3,el,singular,20
correr,corriamos,indicativo,pretéritoimperfecto,1,nos,plural,20
correr,corriades,indicativo,pretéritoimperfecto,2,vos,plural,20
correr,corrían,indicativo,pretéritoimperfecto,3,eles,plural,20
correr,corrín,indicativo,pretéritoperfecto,1,eu,singular,24
correr,corriches,indicativo,pretéritoperfecto,2,ti,singular,24
correr,correu,indicativo,pretéritoperfecto,3,el,singular,24
correr,corremos,indicativo,pretéritoperfecto,1,nos,plural,24
correr,correstes,indicativo,pretéritoperfecto,2,vos,plural,24
correr,correron,indicativo,pretéritoperfecto,3,eles,plural,24
correr,correrei,indicativo,futuro,1,eu,singular,30
correr,correrás,indicativo,futuro,2,ti,singular,30
correr,correrá,indicativo,futuro,3,el,singular,30
correr,correremos,indicativo,futuro,1,nos,plural,30
correr,correredes,indicativo,futuro,2,vos,plural,30
correr,correrán,indicativo,futuro,3,eles,plural,30
correr,correra,indicativo,pretéritopluscuamperfecto,1,eu,singular,28
correr,correras,indicativo,pretéritopluscuamperfecto,2,ti,singular,28
correr,correra,indicativo,pretéritopluscuamperfecto,3,el,singular,28
correr,correramos,indicativo,pretéritopluscuamperfecto,1,nos,plural,28
correr,correrades,indicativo,pretéritopluscuamperfecto,2,vos,plural,28
correr,correran,indicativo,pretéritopluscuamperfecto,3,eles,plural,28
correr,correría,indicativo,condicional,1,eu,singular,40
correr,correrías,indicativo,condicional,2,ti,singular,40
correr,correría,indicativo,condicional,3,el,singular,40
correr,correriamos,indicativo,condicional,1,nos,plural,40
correr,correriades,indicativo,condicional,2,vos,plural,40
correr,correrían,indicativo,condicional,3,eles,plural,40
correr,corra,subxuntivo,presente,1,eu,singular,110
correr,corras,subxuntivo,presente,2,ti,singular,110
correr,corra,subxuntivo,presente,3,el,singular,110
correr,corramos,subxuntivo,presente,1,nos,plural,110
correr,corrades,subxuntivo,presente,2,vos,plural,110
correr,corran,subxuntivo,presente,3,eles,plural,110
correr,correse,subxuntivo,pretérito,1,eu,singular,120
correr,correses,subxuntivo,pretérito,2,ti,singular,120
correr,correse,subxuntivo,pretérito,3,el,singular,120
correr,corrésemos,subxuntivo,pretérito,1,nos,plural,120
correr,corrésedes,subxuntivo,pretérito,2,vos,plural,120
correr,corresen,subxuntivo,pretérito,3,eles,plural,120
correr,correr,subxuntivo,futuro,1,eu,singular,130
correr,correres,subxuntivo,futuro,2,ti,singular,130
correr,correr,subxuntivo,futuro,3,el,singular,130
correr,corrermos,subxuntivo,futuro,1,nos,plural,130
correr,correrdes,subxuntivo,futuro,2,vos,plural,130
correr,correren,subxuntivo,futuro,3,eles,plural,130
correr,correndo,xerundio,-,-,-,-,210
correr,corrido,participio,-,-,-,-,220
correr,correr,infinitivo,-,-,-,-,200
correr,corre,imperativo,-,-,-,singular,230
correr,correde,imperativo,-,-,-,plural,230
elixir	,elixo,indicativo,presente,1,eu,singular,10
elixir,elixes,indicativo,presente,2,ti,singular,10
elixir,elixes,indicativo,presente,3,el,singular,10
elixir,eliximos,indicativo,presente,1,nos,plural,10
elixir,elixides,indicativo,presente,2,vos,plural,10
elixir,elixen,indicativo,presente,3,eles,plural,10
elixir,elixía,indicativo,pretéritoimperfecto,1,eu,singular,20
elixir,elixías,indicativo,pretéritoimperfecto,2,ti,singular,20
elixir,elixía,indicativo,pretéritoimperfecto,3,el,singular,20
elixir,elixíamos,indicativo,pretéritoimperfecto,1,nos,plural,20
elixir,elixíades,indicativo,pretéritoimperfecto,2,vos,plural,20
elixir,elixían,indicativo,pretéritoimperfecto,3,eles,plural,20
elixir,elixín,indicativo,pretéritoperfecto,1,eu,singular,24
elixir,elixiches,indicativo,pretéritoperfecto,2,ti,singular,24
elixir,elixiu,indicativo,pretéritoperfecto,3,el,singular,24
elixir,eliximos,indicativo,pretéritoperfecto,1,nos,plural,24
elixir,elixíchedes,indicativo,pretéritoperfecto,2,vos,plural,24
elixir,elixiron,indicativo,pretéritoperfecto,3,eles,plural,24
elixir,elixirei,indicativo,futuro,1,eu,singular,30
elixir,elixirás,indicativo,futuro,2,ti,singular,30
elixir,elixirás,indicativo,futuro,3,el,singular,30
elixir,elixiremos,indicativo,futuro,1,nos,plural,30
elixir,elixiredes,indicativo,futuro,2,vos,plural,30
elixir,elixirán,indicativo,futuro,3,eles,plural,30
elixir,elixira,indicativo,pretéritopluscuamperfecto,1,eu,singular,28
elixir,elixiras,indicativo,pretéritopluscuamperfecto,2,ti,singular,28
elixir,elixira,indicativo,pretéritopluscuamperfecto,3,el,singular,28
elixir,elixiramos,indicativo,pretéritopluscuamperfecto,1,nos,plural,28
elixir,elixirades,indicativo,pretéritopluscuamperfecto,2,vos,plural,28
elixir,elixiran,indicativo,pretéritopluscuamperfecto,3,eles,plural,28
elixir,elixiría,indicativo,condicional,1,eu,singular,40
elixir,elixirías,indicativo,condicional,2,ti,singular,40
elixir,elixiría,indicativo,condicional,3,el,singular,40
elixir,elixiríamos,indicativo,condicional,1,nos,plural,40
elixir,elixiríades,indicativo,condicional,2,vos,plural,40
elixir,elixirían,indicativo,condicional,3,eles,plural,40
elixir,elixa,subxuntivo,presente,1,eu,singular,110
elixir,elixas,subxuntivo,presente,2,ti,singular,110
elixir,elixa,subxuntivo,presente,3,el,singular,110
elixir,elixamos,subxuntivo,presente,1,nos,plural,110
elixir,elixades,subxuntivo,presente,2,vos,plural,110
elixir,elixan,subxuntivo,presente,3,eles,plural,110
elixir,elixise,subxuntivo,pretérito,1,eu,singular,120
elixir,elixises,subxuntivo,pretérito,2,ti,singular,120
elixir,elixise,subxuntivo,pretérito,3,el,singular,120
elixir,elixísimos,subxuntivo,pretérito,1,nos,plural,120
elixir,elixísides,subxuntivo,pretérito,2,vos,plural,120
elixir,elixisen,subxuntivo,pretérito,3,eles,plural,120
elixir,elixir,subxuntivo,futuro,1,eu,singular,130
elixir,elixires,subxuntivo,futuro,2,ti,singular,130
elixir,elixir,subxuntivo,futuro,3,el,singular,130
elixir,elixirmos,subxuntivo,futuro,1,nos,plural,130
elixir,elixirdes,subxuntivo,futuro,2,vos,plural,130
elixir,elixiren,subxuntivo,futuro,3,eles,plural,130
elixir,elixindo,xerundio,-,-,-,-,210
elixir,elixido,participio,-,-,-,-,220
elixir,elixir,infinitivo,-,-,-,-,200
elixir,elixe,imperativo,-,-,-,singular,230
elixir,elixides,imperativo,-,-,-,plural,230
saber,sei,indicativo,presente,1,eu,singular,10
saber,sabes,indicativo,presente,2,ti,singular,10
saber,sabe,indicativo,presente,3,el,singular,10
saber,sabemos,indicativo,presente,1,nos,plural,10
saber,sabedes,indicativo,presente,2,vos,plural,10
saber,saben,indicativo,presente,3,eles,plural,10
saber,sabía,indicativo,pretéritoimperfecto,1,eu,singular,20
saber,sabías,indicativo,pretéritoimperfecto,2,ti,singular,20
saber,sabía,indicativo,pretéritoimperfecto,3,el,singular,20
saber,sabiamos,indicativo,pretéritoimperfecto,1,nos,plural,20
saber,sabiades,indicativo,pretéritoimperfecto,2,vos,plural,20
saber,sabían,indicativo,pretéritoimperfecto,3,eles,plural,20
saber,souben,indicativo,pretéritoperfecto,1,eu,singular,24
saber,soubeches,indicativo,pretéritoperfecto,2,ti,singular,24
saber,soubo,indicativo,pretéritoperfecto,3,el,singular,24
saber,soubemos,indicativo,pretéritoperfecto,1,nos,plural,24
saber,soubestes,indicativo,pretéritoperfecto,2,vos,plural,24
saber,souberon,indicativo,pretéritoperfecto,3,eles,plural,24
saber,saberei,indicativo,futuro,1,eu,singular,30
saber,saberás,indicativo,futuro,2,ti,singular,30
saber,saberá,indicativo,futuro,3,el,singular,30
saber,saberemos,indicativo,futuro,1,nos,plural,30
saber,saberedes,indicativo,futuro,2,vos,plural,30
saber,saberán,indicativo,futuro,3,eles,plural,30
saber,soubera,indicativo,pretéritopluscuamperfecto,1,eu,singular,28
saber,souberas,indicativo,pretéritopluscuamperfecto,2,ti,singular,28
saber,soubera,indicativo,pretéritopluscuamperfecto,3,el,singular,28
saber,souberamos,indicativo,pretéritopluscuamperfecto,1,nos,plural,28
saber,souberades,indicativo,pretéritopluscuamperfecto,2,vos,plural,28
saber,souberan,indicativo,pretéritopluscuamperfecto,3,eles,plural,28
saber,sabería,indicativo,condicional,1,eu,singular,40
saber,saberías,indicativo,condicional,2,ti,singular,40
saber,sabería,indicativo,condicional,3,el,singular,40
saber,saberiamos,indicativo,condicional,1,nos,plural,40
saber,saberiades,indicativo,condicional,2,vos,plural,40
saber,saberían,indicativo,condicional,3,eles,plural,40
saber,saiba,subxuntivo,presente,1,eu,singular,110
saber,saibas,subxuntivo,presente,2,ti,singular,110
saber,saiba,subxuntivo,presente,3,el,singular,110
saber,saibamos,subxuntivo,presente,1,nos,plural,110
saber,saibades,subxuntivo,presente,2,vos,plural,110
saber,saiban,subxuntivo,presente,3,eles,plural,110
saber,soubese,subxuntivo,pretérito,1,eu,singular,120
saber,soubeses,subxuntivo,pretérito,2,ti,singular,120
saber,soubese,subxuntivo,pretérito,3,el,singular,120
saber,soubésemos,subxuntivo,pretérito,1,nos,plural,120
saber,soubésedes,subxuntivo,pretérito,2,vos,plural,120
saber,soubesen,subxuntivo,pretérito,3,eles,plural,120
saber,souber,subxuntivo,futuro,1,eu,singular,130
saber,souberes,subxuntivo,futuro,2,ti,singular,130
saber,souber,subxuntivo,futuro,3,el,singular,130
saber,soubermos,subxuntivo,futuro,1,nos,plural,130
saber,souberdes,subxuntivo,futuro,2,vos,plural,130
saber,souberen,subxuntivo,futuro,3,eles,plural,130
saber,sabendo,xerundio,-,-,-,-,210
saber,sabido,participio,-,-,-,-,220
saber,saber,infinitivo,-,-,-,-,200
saber,sabe,imperativo,-,-,-,singular,230
saber,sabedes,imperativo,-,-,-,plural,230
